,product_name,product_id,prices,prompts
0,Adventure Awaits Play Tent,1,$39.99,"Adventure Awaits Play Tent, kid's toy"
1,Amaze-Balls Maze Set,2,$29.99,"Amaze-Balls Maze Set, kid's toy"
2,Animal Adventure Figurines,3,$12.99,"Animal Adventure Figurines, kid's toy"
3,Artistic Masterpieces Painting Kit,5,$29.99,"Artistic Masterpieces Painting Kit, kid's toy"
4,Awesome Obstacle Course,6,$29.99,"Awesome Obstacle Course, kid's toy"
5,Balancing Buddies Stacking Game,7,$14.99,"Balancing Buddies Stacking Game, kid's toy"
6,Banana Blast Game,8,$19.99,"Banana Blast Game, kid's toy"
7,Bath Time Fun Play Set,9,$19.99,"Bath Time Fun Play Set, kid's toy"
8,Batty Bat Cave Set,10,$29.99,"Batty Bat Cave Set, kid's toy"
9,Beach Blast Play Set,11,$19.99,"Beach Blast Play Set, kid's toy"
10,Beauty Boutique Vanity Set,12,$49.99,"Beauty Boutique Vanity Set, kid's toy"
11,Best Buddies Plush Animals,13,$19.99,"Best Buddies Plush Animals, kid's toy"
12,Bitty Builders Tool Set,14,$19.99,"Bitty Builders Tool Set, kid's toy"
13,Blast-Off Rocket Ship,15,$29.99,"Blast-Off Rocket Ship, kid's toy"
14,Block Buddies Building Set,16,$19.99,"Block Buddies Building Set, kid's toy"
15,Blossom Meadows Garden Set,17,$29.99,"Blossom Meadows Garden Set, kid's toy"
16,Bubble Bash Bubble Maker,19,$19.99,"Bubble Bash Bubble Maker, kid's toy"
17,Bug Brigade Insect Play Set,20,$19.99,"Bug Brigade Insect Play Set, kid's toy"
18,Bumper Cars Race Set,22,$39.99,"Bumper Cars Race Set, kid's toy"
19,Busy Builders Block Set,23,$24.99,"Busy Builders Block Set, kid's toy"
20,Candy Castle Playset,24,$29.99,"Candy Castle Playset, kid's toy"
21,Car Crazy Road Race Set,25,$49.99,"Car Crazy Road Race Set, kid's toy"
22,Castle Keep Playset,26,$49.99,"Castle Keep Playset, kid's toy"
23,Chirping Birdhouse Set,28,$19.99,"Chirping Birdhouse Set, kid's toy"
24,Circus Fun Play Tent,29,$29.99,"Circus Fun Play Tent, kid's toy"
25,Classic Toy Train Set,31,$29.99,"Classic Toy Train Set, kid's toy"
26,Colorful Construction Play Set,32,$29.99,"Colorful Construction Play Set, kid's toy"
27,Cool Cats Play Set,33,$29.99,"Cool Cats Play Set, kid's toy"
28,Cozy Cuddle Bedtime Plushies,34,$29.99,"Cozy Cuddle Bedtime Plushies, kid's toy"
29,Crafty Creations Art Set,35,$19.99,"Crafty Creations Art Set, kid's toy"
30,Crazy Car Wash Set,36,$29.99,"Crazy Car Wash Set, kid's toy"
31,Creepy Crawly Bug Set,37,$12.99,"Creepy Crawly Bug Set, kid's toy"
32,Daring Dino Explorer Set,39,$29.99,"Daring Dino Explorer Set, kid's toy"
33,Deluxe Dollhouse,40,$149.99,"Deluxe Dollhouse, kid's toy"
34,Desert Adventure Play Set,41,$29.99,"Desert Adventure Play Set, kid's toy"
35,Dino Dig Excavation Kit,43,$12.99,"Dino Dig Excavation Kit, kid's toy"
36,Disco Dance Floor Set,44,$29.99,"Disco Dance Floor Set, kid's toy"
37,Discovering Dinosaurs Play Set,45,$29.99,"Discovering Dinosaurs Play Set, kid's toy"
38,Diving Dolphins Bath Toys,46,$12.99,"Diving Dolphins Bath Toys, kid's toy"
39,Dollhouse Dream Castle,47,$59.99,"Dollhouse Dream Castle, kid's toy"
40,Dreamy Doll Bedtime Set,49,$29.99,"Dreamy Doll Bedtime Set, kid's toy"
41,Duck and Dive Pool Toys,50,$19.99,"Duck and Dive Pool Toys, kid's toy"
42,Dynamic Dinosaur Set,51,$29.99,"Dynamic Dinosaur Set, kid's toy"
43,Easter Egg Decorating Kit,52,$9.99,"Easter Egg Decorating Kit, kid's toy"
44,Eco-Friendly Building Blocks,53,$29.99,"Eco-Friendly Building Blocks, kid's toy"
45,Eerie Haunted House Set,54,$29.99,"Eerie Haunted House Set, kid's toy"
46,Electric Eel Race Set,55,$29.99,"Electric Eel Race Set, kid's toy"
47,Enchanted Forest Play Set,56,$49.99,"Enchanted Forest Play Set, kid's toy"
48,Exciting Adventure Play Tent,57,$39.99,"Exciting Adventure Play Tent, kid's toy"
49,Fairy Forest Play Set,59,$39.99,"Fairy Forest Play Set, kid's toy"
50,Farmyard Friends Play Set,61,$29.99,"Farmyard Friends Play Set, kid's toy"
51,Fashion Frenzy Dress-Up Set,62,$19.99,"Fashion Frenzy Dress-Up Set, kid's toy"
52,Fierce Dragon Knights Set,63,$29.99,"Fierce Dragon Knights Set, kid's toy"
53,Fire Station Play Set,64,$29.99,"Fire Station Play Set, kid's toy"
54,Fishing Fun Play Set,65,$19.99,"Fishing Fun Play Set, kid's toy"
55,Flamingo Frenzy Play Set,66,$29.99,"Flamingo Frenzy Play Set, kid's toy"
56,Flower Power Garden Set,67,$29.99,"Flower Power Garden Set, kid's toy"
57,Foodie Fun Cooking Set,69,$29.99,"Foodie Fun Cooking Set, kid's toy"
58,Forest Friends Play Set,70,$24.99,"Forest Friends Play Set, kid's toy"
59,Fox and Hound Play Set,71,$24.99,"Fox and Hound Play Set, kid's toy"
60,Fun Farm Animal Set,72,$19.99,"Fun Farm Animal Set, kid's toy"
61,Funny Faces Play Set,73,$12.99,"Funny Faces Play Set, kid's toy"
62,Garden Gnome Play Set,75,$29.99,"Garden Gnome Play Set, kid's toy"
63,Giant Jenga Game,76,$79.99,"Giant Jenga Game, kid's toy"
64,Giraffe Jungle Play Set,77,$29.99,"Giraffe Jungle Play Set, kid's toy"
65,Glitter Gaze Princess Set,78,$29.99,"Glitter Gaze Princess Set, kid's toy"
66,Glow-in-the-Dark Space Set,79,$19.99,"Glow-in-the-Dark Space Set, kid's toy"
67,Hockey Heroes Set,86,$29.99,"Hockey Heroes Set, kid's toy"
68,Holiday Fun Craft Kit,87,$15.99,"Holiday Fun Craft Kit, kid's toy"
69,Honeycomb Hideout Play Set,88,$29.99,"Honeycomb Hideout Play Set, kid's toy"
70,Horse and Rider Play Set,89,$19.99,"Horse and Rider Play Set, kid's toy"
71,Hot Wheels Racing Set,90,$29.99,"Hot Wheels Racing Set, kid's toy"
72,Hula Hoop Fun Set,91,$19.99,"Hula Hoop Fun Set, kid's toy"
73,Ice Cream Sundae Party Set,92,$19.99,"Ice Cream Sundae Party Set, kid's toy"
74,Inflatable Bouncy Castle,94,$299.99,"Inflatable Bouncy Castle, kid's toy"
75,Insect Invasion Play Set,95,$19.99,"Insect Invasion Play Set, kid's toy"
76,Interactive Farmyard Set,96,$39.99,"Interactive Farmyard Set, kid's toy"
77,Jungle Friends Play Set,99,$29.99,"Jungle Friends Play Set, kid's toy"
78,Kids' Karaoke Microphone Set,100,$29.99,"Kids' Karaoke Microphone Set, kid's toy"
79,Ladybug Lane Play Set,102,$29.99,"Ladybug Lane Play Set, kid's toy"
80,Laser Tag Set,103,$49.99,"Laser Tag Set, kid's toy"
81,Lava Lagoon Play Set,104,$29.99,"Lava Lagoon Play Set, kid's toy"
82,Lego Building Blocks,105,$50.00,"Lego Building Blocks, kid's toy"
83,Little Artist Studio Set,106,$19.99,"Little Artist Studio Set, kid's toy"
84,Little Chef's Kitchen Set,107,$39.99,"Little Chef's Kitchen Set, kid's toy"
85,Little Critter Camping Set,108,$24.99,"Little Critter Camping Set, kid's toy"
86,Little Explorer Play Tent,109,$39.99,"Little Explorer Play Tent, kid's toy"
87,Little Princess Dress-Up Set,110,$19.99,"Little Princess Dress-Up Set, kid's toy"
88,Little Sailor Boat Set,112,$19.99,"Little Sailor Boat Set, kid's toy"
89,Little Scientist Lab Kit,113,$29.99,"Little Scientist Lab Kit, kid's toy"
90,Little Surfer Beach Set,114,$19.99,"Little Surfer Beach Set, kid's toy"
91,Little Unicorn Play Set,115,$29.99,"Little Unicorn Play Set, kid's toy"
92,Lively Learning Alphabet Set,116,$29.99,"Lively Learning Alphabet Set, kid's toy"
93,Magical Mermaid Play Set,117,$29.99,"Magical Mermaid Play Set, kid's toy"
94,Magnificent Marble Run Set,118,$39.99,"Magnificent Marble Run Set, kid's toy"
95,Make-Your-Own Robot Kit,119,$49.99,"Make-Your-Own Robot Kit, kid's toy"
96,Medieval Knights Play Set,120,$24.99,"Medieval Knights Play Set, kid's toy"
97,Mermaid's Cove Play Set,121,$29.99,"Mermaid's Cove Play Set, kid's toy"
98,Mini Basketball Hoop Set,122,$29.99,"Mini Basketball Hoop Set, kid's toy"
99,Mini Golf Course Set,124,$24.99,"Mini Golf Course Set, kid's toy"
100,Miniature Toy Cars,125,$9.99,"Miniature Toy Cars, kid's toy"
101,Modern Dollhouse,126,$99.99,"Modern Dollhouse, kid's toy"
102,Monkey Madness Play Set,127,$29.99,"Monkey Madness Play Set, kid's toy"
103,Moose and Bear Play Set,129,$24.99,"Moose and Bear Play Set, kid's toy"
104,Musical Melodies Set,130,$29.99,"Musical Melodies Set, kid's toy"
105,My First Tool Set,131,$19.99,"My First Tool Set, kid's toy"
106,Nature Explorer Kit,134,$29.99,"Nature Explorer Kit, kid's toy"
107,Neon Glowstick Party Set,135,$15.99,"Neon Glowstick Party Set, kid's toy"
108,Ninja Warrior Obstacle Course,136,$199.99,"Ninja Warrior Obstacle Course, kid's toy"
109,On-the-Go Car Set,139,$19.99,"On-the-Go Car Set, kid's toy"
110,Paint-Your-Own Figurines Kit,141,$19.99,"Paint-Your-Own Figurines Kit, kid's toy"
111,Paper Airplane Launcher Set,142,$19.99,"Paper Airplane Launcher Set, kid's toy"
112,Party Time Play Tent,144,$39.99,"Party Time Play Tent, kid's toy"
113,Paw Patrol Rescue Set,145,$24.99,"Paw Patrol Rescue Set, kid's toy"
114,Peppa Pig Playhouse,146,$29.99,"Peppa Pig Playhouse, kid's toy"
115,Pet Vet Play Set,147,$29.99,"Pet Vet Play Set, kid's toy"
116,Pirate's Cove Play Set,148,$39.99,"Pirate's Cove Play Set, kid's toy"
117,Playful Puppies Set,149,$25.99,"Playful Puppies Set, kid's toy"
118,Pocket Puzzle Game Set,150,$12.99,"Pocket Puzzle Game Set, kid's toy"
119,Police Station Play Set,151,$29.99,"Police Station Play Set, kid's toy"
120,Pony Ranch Play Set,152,$29.99,"Pony Ranch Play Set, kid's toy"
121,Pop-Up Playhouse Tent,153,$29.99,"Pop-Up Playhouse Tent, kid's toy"
122,Prehistoric Dino Play Set,155,$29.99,"Prehistoric Dino Play Set, kid's toy"
123,Pretty Purses Fashion Set,156,$19.99,"Pretty Purses Fashion Set, kid's toy"
124,Puppy Pal Play Set,158,$19.99,"Puppy Pal Play Set, kid's toy"
125,Puzzle Planet Set,159,$29.99,"Puzzle Planet Set, kid's toy"
126,Racing Ramps Play Set,162,$29.99,"Racing Ramps Play Set, kid's toy"
127,Radiant Rainforest Play Set,163,$39.99,"Radiant Rainforest Play Set, kid's toy"
128,Ready-to-Go Camping Set,165,$29.99,"Ready-to-Go Camping Set, kid's toy"
129,Rescue Hero Play Set,166,$29.99,"Rescue Hero Play Set, kid's toy"
130,Retro Toy Car Set,167,$29.99,"Retro Toy Car Set, kid's toy"
131,Rock Climbing Play Set,168,$179.99,"Rock Climbing Play Set, kid's toy"
132,Roll-a-Ball Bowling Set,169,$29.99,"Roll-a-Ball Bowling Set, kid's toy"
133,Scary Monster Play Set,175,$19.99,"Scary Monster Play Set, kid's toy"
134,Science Lab Experiment Kit,177,$29.99,"Science Lab Experiment Kit, kid's toy"
135,Seaside Adventure Play Set,179,$39.99,"Seaside Adventure Play Set, kid's toy"
136,Sensory Play Kit,181,$29.99,"Sensory Play Kit, kid's toy"
137,Shark Attack Play Set,182,$29.99,"Shark Attack Play Set, kid's toy"
138,Skate Park Play Set,186,$29.99,"Skate Park Play Set, kid's toy"
139,Sky High Helicopter Set,187,$29.99,"Sky High Helicopter Set, kid's toy"
140,Slime Factory Kit,188,$19.99,"Slime Factory Kit, kid's toy"
141,Snug Sleepover Play Set,189,$49.99,"Snug Sleepover Play Set, kid's toy"
142,Soccer Star Play Set,190,$19.99,"Soccer Star Play Set, kid's toy"
143,Space Shuttle Adventure Set,191,$29.99,"Space Shuttle Adventure Set, kid's toy"
144,Spooky Mansion Play Set,192,$29.99,"Spooky Mansion Play Set, kid's toy"
145,Sports Stadium Play Set,193,$29.99,"Sports Stadium Play Set, kid's toy"
146,Stegosaurus Skeleton Dino Set,196,$29.99,"Stegosaurus Skeleton Dino Set, kid's toy"
147,Stellar Spaceship Play Set,197,$39.99,"Stellar Spaceship Play Set, kid's toy"
148,Strawberry Shortcake Play Set,198,$24.99,"Strawberry Shortcake Play Set, kid's toy"
149,Summer Fun Beach Set,199,$19.99,"Summer Fun Beach Set, kid's toy"
150,Superhero Action Figures,200,$19.99,"Superhero Action Figures, kid's toy"
151,Super Mario Brothers Play Set,201,$39.99,"Super Mario Brothers Play Set, kid's toy"
152,Sweet Shoppe Play Set,202,$25.99,"Sweet Shoppe Play Set, kid's toy"
153,T-Rex Dinosaur Play Set,203,$24.99,"T-Rex Dinosaur Play Set, kid's toy"
154,Table Tennis Set,204,$25.99,"Table Tennis Set, kid's toy"
155,Tasty Treats Kitchen Set,205,$29.99,"Tasty Treats Kitchen Set, kid's toy"
156,Teenage Mutant Ninja Turtles Set,207,$19.99,"Teenage Mutant Ninja Turtles Set, kid's toy"
157,Terraforming Mars Game,208,$69.99,"Terraforming Mars Game, kid's toy"
158,The Magic School Bus Science Set,209,$29.99,"The Magic School Bus Science Set, kid's toy"
159,Tiny Tots Tool Set,211,$19.99,"Tiny Tots Tool Set, kid's toy"
160,Toot-Toot Car Set,212,$29.99,"Toot-Toot Car Set, kid's toy"
161,Toy Doctor Kit,213,$19.99,"Toy Doctor Kit, kid's toy"
162,Toy Fire Truck Set,214,$29.99,"Toy Fire Truck Set, kid's toy"
163,Treehouse Play Set,218,$399.99,"Treehouse Play Set, kid's toy"
164,Triassic T-Rex Dinosaur Set,219,$29.99,"Triassic T-Rex Dinosaur Set, kid's toy"
165,Triceratops Dinosaur Set,220,$24.99,"Triceratops Dinosaur Set, kid's toy"
166,Truck and Trailer Set,221,$29.99,"Truck and Trailer Set, kid's toy"
167,Underwater Adventure Play Set,222,$24.99,"Underwater Adventure Play Set, kid's toy"
168,"Up, Up, and Away Hot Air Balloon Set",225,$29.99,"Up, Up, and Away Hot Air Balloon Set, kid's toy"
169,Vroom Vroom Car Set,228,$29.99,"Vroom Vroom Car Set, kid's toy"
170,Western Cowboy Play Set,231,$29.99,"Western Cowboy Play Set, kid's toy"
171,Winter Wonderland Play Set,233,$29.99,"Winter Wonderland Play Set, kid's toy"
172,Wizard's Castle Play Set,234,$49.99,"Wizard's Castle Play Set, kid's toy"
173,Wooden Block Variety Set,235,$29.99,"Wooden Block Variety Set, kid's toy"
174,World Map Jigsaw Puzzle Set,236,$15.99,"World Map Jigsaw Puzzle Set, kid's toy"
175,Wrestling Action Figures Set,238,$29.99,"Wrestling Action Figures Set, kid's toy"
176,Xylophone Music Set,239,$25.99,"Xylophone Music Set, kid's toy"
177,Yo-Yo Trick Set,240,$9.99,"Yo-Yo Trick Set, kid's toy"
178,Yoga Fun Mat Set,241,$29.99,"Yoga Fun Mat Set, kid's toy"
179,Yoohoo and Friends Play Set,242,$19.99,"Yoohoo and Friends Play Set, kid's toy"
180,Zippy Zoo Play Set,244,$29.99,"Zippy Zoo Play Set, kid's toy"
181,Zooming Race Car Set,247,$29.99,"Zooming Race Car Set, kid's toy"
182,Zodiac Star Sign Play Set,249,$29.99,"Zodiac Star Sign Play Set, kid's toy"
183,Zigzag Race Set,250,$29.99,"Zigzag Race Set, kid's toy"
184,Zookeeper Play Set,251,$29.99,"Zookeeper Play Set, kid's toy"
185,Zoo Train Play Set,252,$29.99,"Zoo Train Play Set, kid's toy"
186,Zip Line Adventure Set,253,$79.99,"Zip Line Adventure Set, kid's toy"
187,Zoo Animals Play Set,257,$24.99,"Zoo Animals Play Set, kid's toy"
188,Zestful Zoo Play Set,258,$29.99,"Zestful Zoo Play Set, kid's toy"
189,Zen Garden Play Set,261,$19.99,"Zen Garden Play Set, kid's toy"
190,Zingy Zebra Play Set,263,$29.99,"Zingy Zebra Play Set, kid's toy"
191,Zany Zoo Play Set,265,$39.99,"Zany Zoo Play Set, kid's toy"
192,Zephyr Zone Play Set,269,$39.99,"Zephyr Zone Play Set, kid's toy"
193,Zig Zag Road Racing Set,270,$29.99,"Zig Zag Road Racing Set, kid's toy"
194,Zingy Zipper Play Set,272,$19.99,"Zingy Zipper Play Set, kid's toy"
195,Zany Zoological Play Set,273,$29.99,"Zany Zoological Play Set, kid's toy"
196,Zippy Zebra Play Set,274,$29.99,"Zippy Zebra Play Set, kid's toy"
197,Zen Monkey Play Set,277,$24.99,"Zen Monkey Play Set, kid's toy"
198,Zero Gravity Flight Set,279,$39.99,"Zero Gravity Flight Set, kid's toy"
199,Zooming Rocket Launch Set,280,$29.99,"Zooming Rocket Launch Set, kid's toy"
200,Zigzagging Slope Play Set,281,$39.99,"Zigzagging Slope Play Set, kid's toy"
201,Zany Zealot Set,282,$29.99,"Zany Zealot Set, kid's toy"
202,Zippy Zipper Set,283,$14.99,"Zippy Zipper Set, kid's toy"
203,Zombie Survival Play Set,287,$19.99,"Zombie Survival Play Set, kid's toy"
204,Zipping Funfair Play Set,288,$39.99,"Zipping Funfair Play Set, kid's toy"
205,Zigzagging Slot Car Set,290,$49.99,"Zigzagging Slot Car Set, kid's toy"
206,Zany Zebra Play Set,292,$24.99,"Zany Zebra Play Set, kid's toy"
207,Zany Zipline Adventure Set,299,$69.99,"Zany Zipline Adventure Set, kid's toy"
208,Zippy Zookeeper Adventure Set,300,$29.99,"Zippy Zookeeper Adventure Set, kid's toy"
